time_min,arterial_map,displayed_map
0.0,74.0,74.0
0.16666666666666666,74.0,74.0
0.3333333333333333,74.0,74.0
0.5,74.0,74.0
0.6666666666666666,74.0,74.0
0.8333333333333333,74.0,74.0
1.0,74.0,74.0
1.1666666666666665,74.0,74.0
1.3333333333333333,74.0,74.0
1.5,61.0,74.0
1.6666666666666665,61.0,74.0
1.8333333333333333,61.0,74.0
2.0,61.0,74.0
2.1666666666666665,61.0,74.0
2.333333333333333,61.0,74.0
2.5,61.0,74.0
2.6666666666666665,61.0,74.0
2.833333333333333,61.0,74.0
3.0,61.0,74.0
3.1666666666666665,61.0,74.0
3.333333333333333,61.0,74.0
3.5,74.0,74.0
3.6666666666666665,74.0,74.0
3.833333333333333,74.0,74.0
4.0,74.0,74.0
4.166666666666666,74.0,74.0
4.333333333333333,74.0,74.0
4.5,61.0,74.0
4.666666666666666,61.0,74.0
4.833333333333333,61.0,74.0
5.0,61.0,61.0
5.166666666666666,61.0,61.0
5.333333333333333,61.0,61.0
5.5,61.0,61.0
5.666666666666666,61.0,61.0
5.833333333333333,61.0,61.0
6.0,61.0,61.0
6.166666666666666,61.0,61.0
6.333333333333333,61.0,61.0
6.5,74.0,61.0
6.666666666666666,74.0,61.0
6.833333333333333,74.0,61.0
7.0,74.0,61.0
7.166666666666666,74.0,61.0
7.333333333333333,74.0,61.0
7.5,74.0,61.0
7.666666666666666,74.0,61.0
7.833333333333333,74.0,61.0
8.0,74.0,61.0
8.166666666666666,74.0,61.0
8.333333333333332,74.0,61.0
8.5,74.0,61.0
8.666666666666666,74.0,61.0
8.833333333333332,74.0,61.0
9.0,74.0,61.0
9.166666666666666,74.0,61.0
9.333333333333332,74.0,61.0
9.5,74.0,61.0
9.666666666666666,74.0,61.0
9.833333333333332,74.0,61.0
10.0,74.0,74.0
